Kernel,Filesize,Blocksize,Round,Write,Read
4.15.0-42-generic,524288,2048,76,17500000,28000000
4.15.0-42-generic,524288,2048,77,13900000,30600000
4.15.0-42-generic,524288,2048,78,16300000,23500000
4.15.0-42-generic,524288,2048,79,18900000,32300000
4.15.0-42-generic,524288,2048,80,15800000,25100000
4.15.0-42-generic,524288,2048,81,15900000,30000000
4.15.0-42-generic,524288,2048,82,17900000,28200000
4.15.0-42-generic,524288,2048,83,17800000,32300000
4.15.0-42-generic,524288,2048,84,13400000,16700001
4.15.0-42-generic,524288,2048,85,16500000,29300000
4.15.0-42-generic,524288,2048,86,17200000,35700000
4.15.0-42-generic,524288,2048,87,20900000,20000000
4.15.0-42-generic,524288,2048,88,17500000,22600000
4.15.0-42-generic,524288,2048,89,15400000,18600000
4.15.0-42-generic,524288,2048,90,19700000,35200000
4.15.0-42-generic,524288,2048,91,20900000,14000000
4.15.0-42-generic,524288,2048,92,17700000,24200000
4.15.0-42-generic,524288,2048,93,20000000,26700000
4.15.0-42-generic,524288,2048,94,17600000,32000000
4.15.0-42-generic,524288,2048,95,19600000,29700000
4.15.0-42-generic,524288,2048,96,14900000,31000000
4.15.0-42-generic,524288,2048,97,13000000,31400000
4.15.0-42-generic,524288,2048,98,19700000,33400001
4.15.0-42-generic,524288,2048,99,19600000,19900000
4.15.0-42-generic,524288,2048,100,19900000,35700000
4.15.0-42-generic,524288,8192,1,17300000,27500000
4.15.0-42-generic,524288,8192,2,14000000,22100000
4.15.0-42-generic,524288,8192,3,19500000,25800000
4.15.0-42-generic,524288,8192,4,14000000,20000000
4.15.0-42-generic,524288,8192,5,16600000,22800000
4.15.0-42-generic,524288,8192,6,14400000,21400000
4.15.0-42-generic,524288,8192,7,16200001,27100000
4.15.0-42-generic,524288,8192,8,16800000,21000000
4.15.0-42-generic,524288,8192,9,20700000,20500000
4.15.0-42-generic,524288,8192,10,19400000,19200000
4.15.0-42-generic,524288,8192,11,12700000,21300000
4.15.0-42-generic,524288,8192,12,18800000,22600000
4.15.0-42-generic,524288,8192,13,19000000,33100000
4.15.0-42-generic,524288,8192,14,15000000,22700000
4.15.0-42-generic,524288,8192,15,21300000,23300000
4.15.0-42-generic,524288,8192,16,19700000,22600000
4.15.0-42-generic,524288,8192,17,19000000,24700000
4.15.0-42-generic,524288,8192,18,18600000,22300000
4.15.0-42-generic,524288,8192,19,14700000,22600000
4.15.0-42-generic,524288,8192,20,19900000,33600000
4.15.0-42-generic,524288,8192,21,21100000,19100000
4.15.0-42-generic,524288,8192,22,13400000,25100000
4.15.0-42-generic,524288,8192,23,19900000,31400000
4.15.0-42-generic,524288,8192,24,19300000,16800000
4.15.0-42-generic,524288,8192,25,13600000,23800000
4.15.0-42-generic,524288,8192,26,13100000,22300000
4.15.0-42-generic,524288,8192,27,19400000,32200000
4.15.0-42-generic,524288,8192,28,19300000,21100000
4.15.0-42-generic,524288,8192,29,19100000,21700000
4.15.0-42-generic,524288,8192,30,21000000,19300000
